num,nom,annee_naissance,annee_decès,bio
414356,Kortunov Andrei,,,
140232,Bouyssou Rachel,,,
24789,Docquier Frédéric,,,Docteur en sciences économiques. - Macroéconomiste au Service des études et de la statistique de la Région wallonne. - Enseignant en macroéconomie et finances publiques à l'Université de Lille 2 (Source DataBNF)
61222,Rapoport Hillel ,1963.0,,
731465,Chauvier Stéphane ,1959.0,,"Maître de conférences de philosophie à l'Université de Caen, chargé d'enseignement à l'Université de Paris-Sorbonne (en 1996) (Source DataBNF)"
5886,Biraben Jean-Noël ,1928.0,,"Docteur en médecin (Bordeaux, 1954). - Démographe. - Directeur de recherche à l'INED, Institut national d'études démographiques, Paris (en 1987) (Source DataBNF)"
3351,HILLMANN Félicitas ,1964.0,,"En poste, Institut für Geographie, Universität Bremen, Brême, Allemagne (en 2008) (Source DataBNF)"
55512,Rudolph Hedwig,,,"Professeur au Wissenschaftszentrum für Sozialforschung, Berlin, en 1996 (Source DataBNF)"
402785,Macharia Kinuthia,,,
268237,Roussellier Nicolas ,1963.0,,"Agrégé d'histoire, docteur en histoire contemporaine. - Maître de conférences à l'Institut d'études politiques de Paris (en 1994) (Source DataBNF)"
25189,Lacroix Robert,,,
151434,Timbal-Duclaux Louis ,1941.0,,"Journaliste. - Diplômé d'HEC, licencié en sociologie. - Responsable de formation à EDF (en 1988), ancien rédacteur en chef de ""Écrire magazine"" (en 2008) (Source DataBNF)"
656912,Schiff Maurice W.,,,"Économiste. - En poste at the World Bank, Washington, USA (en 1991) (Source DataBNF)"
55277,Oteiza Enrique,,,"Économiste. - A étudié à l'Institut of development studies (IDS), Brighton, GB. - En poste à l'UNESCO (en 1983) (Source DataBNF)"
262181,Daviet Sylvie ,1958.0,,Agrégée de géographie. - Maître de conférences à l'Université de Provence (en 2005) (Source DataBNF)
216689,Broca Paul ,1824.0,1880.0,"Docteur en médecine (Paris, 1849). - Professeur agrégé à la Faculté de médecine, chirurgien de l'Hôpital Saint-Antoine, Paris. - Anthropologue. - Membre de l'Académie de médecine, section de physique et chimie médicales (élu en 1866) (Source DataBNF)"
276794,Rallu Jean-Louis,,,"Docteur en ethnologie, titulaire d'un doctorat d' Etat ès Lettres et sciences humaines. - Chercheur au Département de conjoncture de l'INED (en 1990) (Source DataBNF)"
63272,Bensimon Doris ,1924.0,2009.0,"Professeur de sociologie, spécialisée dans l'étude des judaïcités contemporaines, Université de Caen et INALCO (Source DataBNF)"
33007,Servoise René,,,"Diplomate (en poste aux Nations-Unies, Commission Bernadotte en Palestine, Algérie, Kénya, Chypre, Rome). - Ambassadeur de France en Indonésie (1977-1980). - Membre correspondant de l'Académie des sciences d'outre-mer (élu en 1971). - Docteur en droit et en sciences politiques (Source DataBNF)"
000161,Parant Marc,,,
274401,Viollier D.,,,
000181,Giguère Roland,,,
000191,Thénon Luis,,,
000201,Hawey Danielle,,,
156141,Searle John R.,,,
150257,Duyckaerts Éric,,,
