issn,nom_clt,nb_numeros,nb_document,pre_année_pub,der_année_pub,discpline,editeur
2262-3353,Hommes & Migrations,180.0,4523.0,1987.0,2008.0,"démographie, science politique",Musée de l'Histoire de l'Immigration
1950-6694,Revue économique,320.0,6776.0,1950.0,2002.0,économie,SciencesPo
1783-1768,Revue Philosophique de Louvain,441.0,12292.0,1894.0,2015.0,philosophie,Peeters
1957-7966,Population,320.0,12794.0,1946.0,2004.0,démographie,INED (Institut national d’études démographiques)
1777-5418,Revue Européenne des Migrations Internationales,49.0,814.0,1985.0,2001.0,démographie,MSH Poitiers
1950-6678,Vingtième Siècle. Revue d'histoire,72.0,3370.0,1984.0,2001.0,histoire,Presses de Sciences Po
1778-7459,Communication & Langages,174.0,3039.0,1962.0,2008.0,"linguistique, sciences de l'information et de la communication, sociologie",NecPlus
1782-1517,Revue d'économie du développement,31.0,203.0,1993.0,2001.0,Economie,De Boeck Supérieur
1963-1359,Revue Tiers Monde,181.0,5775.0,1960.0,2006.0,"économie, science politique",Armand Colin
2275-5195,Bulletin de l'Association de Géographes Français,445.0,3746.0,1924.0,2012.0,"géographie, science de l'environnement",Association de Géographes Français
1777-5469,Bulletins et Mémoires de la Société d'Anthropologie de Paris,289.0,7029.0,1864.0,1999.0,"anthropologie, archéologie (mondes anciens)",Société d'anthropologie de Paris
2104-3752,Espace Populations Sociétés,58.0,1311.0,1983.0,2003.0,"géographie, démographie",Université des sciences et techniques de Lille
1958-5691,Revue française de sociologie,184.0,4287.0,1960.0,2002.0,sociologie,Ophrys
1958-8992,Politique étrangère,314.0,8612.0,1936.0,2005.0,science politique,Institut Français des Relations Internationales
1703-7891,Études internationales,192.0,242.0,1970.0,2019.0,"Droit, Économie, Sciences politiques",Institut québécois des hautes études internationales
2540-2544,Revue des Études Anciennes,283.0,11655.0,1899.0,2003.0,"arts, études classiques, histoire",Presses Universitaires de Bordeaux
1492-1405,Études françaises,161.0,216.0,1965.0,2019.0,Études littéraires,Les Presses de l’Université de Montréal
1708-9069,Études littéraires,135.0,186.0,1968.0,2020.0,Études littéraires,"Département de littérature, théâtre et cinéma de l’Université Laval"
1710-0305,Tangence,85.0,113.0,1992.0,2019.0,Études littéraires,Tangence
2105-2956,Quaderni,64.0,861.0,1987.0,2008.0,science politique,Éditions de la MSH
2117-718,Revue des Études Slaves,183.0,3864.0,1921.0,2012.0,études des grandes aires culturelles,Institut d'études slaves
2111-4412,Chimères. Revue des schizoanalyses,57.0,941.0,1987.0,2006.0,"Anthropologie, Philosophie, Psychologie, Science politique, Sociologie",Association Chimères
1705-4591,Revue québécoise de linguistique,44.0,67.0,1981.0,2003.0,Études des langues,Université du Québec à Montréal
2259-6100,Revue d'études comparatives Est-Ouest,149.0,1800.0,1970.0,2008.0,"économie, science politique",NecPlus
2613-2702,Horizons Maghrébins - Le droit à la mémoire,48.0,1620.0,1984.0,2010.0,"Anthropologie, Arts (Histoire de l'art, Architecture), Littérature",Presses Universitaires du Midi
1705-6225,Recherches sociographiques,162.0,222.0,1960.0,2019.0,Sociologie,"Département de sociologie, Faculté des sciences sociales, Université Laval"
,,,,,,,
2513-6119,Espace Temps,52.0,1003.0,1975.0,2005.0,"géographie, science de l'environnement",Association Espace Temps
2102-5924,Communications,105.0,1655.0,1961.0,2019.0,"science politique, science de l'information et de la communication, sociologie",Le Seuil
1705-6500,Cinémas,58.0,87.0,1990.0,2018.0,Arts,Cinémas
1958-5926,Littérature,140.0,1891.0,1971.0,2005.0,"arts (histoire de l'art, architecture), littérature",Armand Colin
1703-7921,Anthropologie et Sociétés,119.0,163.0,1976.0,2019.0,Anthropologie et ethnologie,Département d’anthropologie de l’Université Laval
2105-2581,Économie rurale,263.0,3329.0,1949.0,2004.0,"économie, sociologie",Societé française d'économie rurale
1953-8111,Revue internationale de droit comparé,274.0,12914.0,1949.0,2016.0,droit,Société de législation comparée
1969-6981,Enfance,188.0,2040.0,1948.0,2000.0,"psychologie, science de l'éducation",Presses Universitaires de France
2107-0946,Formation Emploi,91.0,3714.0,1983.0,2005.0,"démographie, science de l'éducation, sociologie",La Documentation Française
2261-060,Revue des études byzantines,263.0,9328.0,1897.0,2014.0,études des grandes aires culturelles,Institut français d'études byzantines
1953-812,Revue de l'Art,60.0,1346.0,1985.0,1999.0,art,Éditions Ophrys
1996-4609,Perspectives Chinoises,108.0,1840.0,1992.0,2010.0,"démographie, science politique, sociologie",CEFC
1492-1391,Philosophiques,92.0,138.0,1974.0,2019.0,Philosophie,Société de philosophie du Québec
2261-4427,Annales de Normandie,343.0,3988.0,1951.0,2009.0,"études régionales, histoire",Centre de recherche d'histoire quantitative
1703-8480,Politique et Sociétés,65.0,90.0,1995.0,2019.0,Sciences politiques,Société québécoise de science politique
2101-0226,L'Homme et la société,91.0,2974.0,1966.0,2000.0,"anthropologie, démographie, sociologie",L'Harmattan
1705-1495,Cahiers québécois de démographie,95.0,139.0,1975.0,2018.0,Démographie,Association des démographes du Québec
1961-8603,Les Cahiers d'Outre-Mer,214.0,2585.0,1948.0,2001.0,géographie,Presses Universitaires de Bordeaux
1777-5396,"CEMOTI, Cahiers d'Études sur la Méditerranée Orientale et le monde Turco-Iranien",38.0,870.0,1985.0,2005.0,sciences politiques,Centre d'études et de recherches internationales (Paris).
2613-2737,Travaux de l'Institut de Géographie de Reims,73.0,664.0,1969.0,2007.0,géographie,Equipe de recherche Habiter (EA 2076).
2419-8676,Le Monde alpin et rhodanien. Revue régionale d’ethnologie,65.0,1114.0,1973.0,2005.0,"anthropologie, études régionales, histoire",Centre alpin et rhodanien d’ethnologie
1775-3821,Bulletin hispanique,324.0,7355.0,1899.0,2007.0,"étude des grandes aires culturelles, histoire",Presses universitaires de Bordeaux
1957-7958,Romantisme,127.0,3089.0,1971.0,2006.0,littérature,Armand Colin
2118-724,Spirale - Revue de recherches en éducation,69.0,1057.0,1989.0,2016.0,sciences de l'éducation,Association de pédagogie et de didactique de l'Ecole normale de Lille
1708-8968,Cahiers de géographie du Québec,174.0,237.0,1956.0,2018.0,Géographie,Département de géographie de l’Université Laval
2101-0382,Langage & société,95.0,1737.0,1977.0,1999.0,"linguistique, sociologie",Maison des Sciences de l'Homme
2105-2913,Revue française de pédagogie,153.0,3142.0,1967.0,2005.0,sciences de l'éducation,ENS éditions
1969-6582,Revue d'histoire des sciences,207.0,4093.0,1947.0,2006.0,histoire des sciences et des techniques,Armand Colin
1955-2580,L'Année psychologique,212.0,7026.0,1894.0,2008.0,"psychologie, science de l'éducation",Armand Colin
1705-9240,Recherches féministes,63.0,95.0,1988.0,2019.0,Études féministes,Revue Recherches féministes
1703-9665,Lien social et Politiques,52.0,78.0,1994.0,2019.0,"Sciences politiques, Sociologie",Lien social et Politiques
1710-3991,L'Actualité économique,240.0,304.0,1955.0,2018.0,Économie,HEC Montréal
1760-7426,Revue de Géographie Alpine,366.0,5315.0,1913.0,2006.0,géographie,"Association pour la Diffusion
de la Recherche Alpine"
1918-7750,Scientia Canadensis,47.0,79.0,1985.0,2019.0,Histoire,CSTHA/AHSTC
2261-1010,Autres Temps,77.0,1437.0,1984.0,2003.0,"philosophie, religion et théologie, sociologie",Association Autre Temps
2497-7098,Les Annales de la Recherche Urbaine,101.0,2569.0,1978.0,2018.0,"arts (histoire de l'art, architecture), géographie, sociologie",Plan - Urbanisme - Construction – Architecture
1953-8146,Annales,334.0,14228.0,1929.0,2002.0,"histoire, économie",Éditions de l'EHESS
1776-3045,Revue d’Histoire Moderne & Contemporaine,362.0,7292.0,1899.0,2000.0,histoire,"Société d'histoire moderne et contemporaine, Editions Belin"
1492-1375,Sociologie et sociétés,100.0,150.0,1969.0,2018.0,Sociologie,Les Presses de l’Université de Montréal
1773-0201,Cahiers de la Méditerranée,66.0,801.0,1970.0,2000.0,,
1777-5809,Réseaux. Communication - Technologie - Société,126.0,1876.0,1983.0,2000.0,"sciences de l'information et de la communication, sociologie",La découverte
