num_doc,title,annee_publication,issn
1,La fuite des cerveaux : le cas de l'ex-URSS,1992,2262-3353
2,"Croissance, redistribution et inégalités dans un modèle de fuite des cerveaux",1999,1950-6694
3,Que nous devons-nous les uns aux autres ? Le cas de la «fuite des cerveaux»,2008,1783-1768
4,Chorafas Dimitri N. — La fuite des cerveaux. Les U.S.A. à la conquête de nos savants,1970,1957-7966
5,Au-delà de la « fuite des cerveaux » : la mobilité des personnes hautement qualifiées de l'ouest vers la Pologne,1997,1777-5418
6,"Migration des Africains diplômés. ""Brain drain"" ou ""brain gain"" des cerveaux ?",2008,2262-3353
7,La ligne de fuite. L'idée d'Europe dans la culture politique française,1994,1950-6678
8,L'exode des cerveaux,1972,1950-6694
9,Le jeu des 4 cerveaux,1987,1778-7459
10,Migration Sud-Nord et commerce : une revue de la littérature,2000,1782-1517
11,L'exode des cerveaux vers les États-Unis. Un cas latino-américain,1973,1963-1359
12,"Mobilité et transferts de savoir : acteurs, réseaux, nouvelles stratégies (Mobility and transfer of knowledge actors, networks, new strategies)",2004,2275-5195
13,Sur trois cerveaux d'orang,1879,1777-5469
14,Tendances récentes des migrations dans le Pacifique Sud,1994,2104-3752
15,"L'exode des cerveaux. Travaux de la Conférence de Lausanne, réunis par W. Adams et H. Rieben.",1969,1958-5691
16,"Henri Rieben. Des guerres européennes à l'union de Europe
Richard Hoggart et Douglas Johnson. An Idea of Europe",1988,1958-8992
17,"Kuptsch, Christiane et Eng Fong Pang (dir.), Competing for Global Talent, Genève, iils/ilo, 2006, 275 p.",2007,1703-7891
18,La fuite des Helvètes en 70,1913,2540-2544
19,Point de fuite,1999,1492-1405
20,La fuite d’eau,2008,1708-9069
21,Esquisse d'une fuite,1986,1710-0305
22,"Document : Esprits, cerveaux et programmes",1987,2105-2956
23,Étude de quatre cerveaux de criminels,1923,1777-5469
24,"Bizutage, dressage, lavage de cerveaux",1990,1778-7459
25,L'exode des cerveaux,1969,1957-7966
