num,nom,annee_naissance,annee_decès,profession
414356,Kortunov Andrei,,,
140232,Bouyssou Rachel,,,
24789,Docquier Frédéric,,,economiste
61222,Rapoport Hillel ,1963.0,,
731465,Chauvier Stéphane ,1959.0,,philosophe
5886,Biraben Jean-Noël ,1928.0,,médecin
3351,HILLMANN Félicitas ,1964.0,,autre
55512,Rudolph Hedwig,,,professeur
402785,Macharia Kinuthia,,,
268237,Roussellier Nicolas ,1963.0,,professeur
25189,Lacroix Robert,,,
151434,Timbal-Duclaux Louis ,1941.0,,journaliste
656912,Schiff Maurice W.,,,economiste
55277,Oteiza Enrique,,,economiste
262181,Daviet Sylvie ,1958.0,,géographe
216689,Broca Paul ,1824.0,1880.0,anthropologue
276794,Rallu Jean-Louis,,,chercheur
63272,Bensimon Doris ,1924.0,2009.0,sociologue
33007,Servoise René,,,autre
000161,Parant Marc,,,
274401,Viollier D.,,,
000181,Giguère Roland,,,
000191,Thénon Luis,,,
000201,Hawey Danielle,,,
156141,Searle John R.,,,
150257,Duyckaerts Éric,,,
11780,Vallois Henri Victor ,1889.0,1981.0,anthropologue
51593,Vaudour-Faguet Bernard,,,
6536,T. G.,,,
233657,Dris Cherif,,,
402745,Bettahar Yamina ,1953.0,,archiviste
222179,Salt John ,1942.0,,géographe
397355,Bondue Jean-Pierre,,,géographe
204975,Milin Bosko,,,
000291,Chouinard Daniel,,,
158915,Schérer René ,1922.0,,philosophe
000311,Emirkanian Louisette,,,
000312,Chieze Emmanuel,,,
30846,Dewitte Philippe ,1952.0,2005.0,autre
180469,Morokvasic-Muller Mirjana,,,autre
250615,Bellagh M.A.,,,
250652,Samrakandi Mohammed Habib,,,sociologue
250616,Gabsi Abdallah,,,
393568,Blanc Maurice ,1943.0,,sociologue
282729,Ferréol Gilles ,1954.0,,sociologue
259994,Santelli Emmanuelle ,1969.0,,sociologue
258632,Venier Pascal ,1963.0,,autre
000381,Audenrode Marc Van,,,
244366,Sarramea Jean ,1951.0,,géographe
26964,Klein Jean ,1936.0,,
249315,Moutsópoulos Euággelos A. ,1930.0,,philosophe
233041,Boons Marie-Claire ,1925.0,,autre
000451,Morin Stéphane,,,
204781,Kemball Robin,,,autre
207113,Formentelli Éliane,,,autre
281513,Wihtol de Wenden Catherine ,1950.0,,autre
402589,Harzoune Mustapha,,,journaliste
402576,Videau André,,,
000521,Mandé Issiaka,,,
262183,Valadeau Nicolas,,,
147927,Boussard Jean-Marc ,1937.0,,
000571,De Tinguy Anne,,,
155470,Sibbille Jean-Paul,,,
175828,Trevarthen Colwyn,,,professeur
47141,Cordonnier Isabelle,,,autre
59179,Dumas Michel,,,
47158,De Montlibert Catherine,,,
404542,Parant Marc,,,
285809,Baudry de Vaux Marie des Neiges,,,
240962,Ceccaldi Sylviane,,,
240963,Crine Grégory,,,
240964,de Lassus Isabelle,,,
240965,Thévenot Magali,,,
237556,Grumel Venance ,1890.0,1967.0,autre
