mot,num_article,frequence
plus,2,1
polit,3,1
europ,4,1
plus,4,1
pay,4,1
européen,4,2
europ,5,1
plus,5,1
européen,5,1
entre,5,1
pay,6,3
europ,7,9
des,7,1
polit,7,4
franc,7,1
comm,7,1
entre,7,1
comm,8,1
entre,9,1
plus,10,1
pay,10,1
entre,10,1
pay,11,3
entre,11,2
entre,12,2
plus,14,1
comm,14,2
europ,15,3
pay,15,2
européen,15,1
europ,16,9
plus,16,1
européen,16,2
europ,17,1
plus,17,2
pay,17,2
polit,17,1
pay,18,1
tout,18,1
comm,18,1
plus,20,2
tout,20,1
des,22,1
tout,22,1
comm,22,1
plus,23,1
des,24,1
pay,24,1
tout,24,1
européen,25,1
pay,26,1
polit,26,1
entre,26,1
plus,27,1
europ,28,4
des,28,1
plus,28,1
pay,28,2
entre,28,2
des,29,2
plus,29,1
entre,29,2
tout,30,1
comm,30,1
comm,32,1
europ,33,2
tout,34,1
plus,35,1
pay,35,3
entre,35,1
europ,36,8
entre,36,1
plus,37,1
pay,37,3
plus,38,1
pay,38,1
polit,39,1
europ,42,3
entre,42,2
europ,43,2
tout,43,1
comm,43,1
des,44,3
plus,44,2
polit,44,1
comm,44,1
des,45,3
comm,45,1
entre,45,1
plus,46,1
europ,47,2
comm,47,1
des,48,1
plus,48,1
comm,48,1
europ,49,1
comm,49,1
europ,50,1
pay,50,1
europ,51,1
des,51,2
tout,51,1
comm,51,1
europ,53,1
des,53,1
plus,53,1
franc,53,2
europ,54,2
pay,54,1
européen,54,1
franc,55,1
europ,56,2
plus,56,2
pay,56,1
europ,57,1
plus,57,1
pay,57,2
polit,57,1
des,58,1
pay,58,1
européen,58,1
plus,59,1
comm,59,1
entre,60,2
europ,62,2
polit,62,1
européen,62,1
europ,63,2
pay,63,2
tout,63,1
tout,65,1
franc,66,1
des,68,4
comm,68,1
entre,68,1
europ,69,3
plus,69,1
polit,69,1
européen,69,2
comm,70,1
plus,71,1
tout,71,1
europ,72,1
polit,72,1
europ,73,1
des,74,2
pay,75,1
européen,75,2
tout,75,1
europ,76,1
pay,76,1
européen,76,1
europ,77,1
pay,77,2
plus,78,2
tout,78,1
europ,79,1
plus,80,1
pay,80,1
europ,81,4
pay,81,1
européen,81,2
entre,81,1
pay,82,1
polit,82,1
européen,82,1
des,84,1
franc,84,1
plus,85,3
comm,85,1
europ,86,1
comm,86,1
europ,87,1
plus,87,1
polit,88,1
europ,89,2
pay,89,1
franc,89,1
europ,90,1
tout,90,1
plus,91,2
des,94,3
tout,94,3
des,95,1
plus,95,1
entre,95,2
europ,96,1
pay,96,1
franc,96,2
europ,97,1
des,97,1
plus,97,1
europ,98,1
pay,98,2
pay,99,1
européen,99,1
tout,99,1
europ,101,1
des,101,1
plus,101,1
polit,102,1
comm,102,1
polit,103,1
comm,103,1
europ,104,4
des,104,2
franc,104,1
comm,104,1
tout,105,1
comm,105,1
europ,107,2
polit,107,1
tout,107,2
comm,107,2
europ,108,3
européen,108,1
europ,109,1
comm,109,1
franc,110,1
tout,112,1
plus,113,4
comm,113,1
plus,115,2
entre,115,2
europ,117,1
europ,118,2
tout,118,1
europ,120,1
franc,120,1
des,123,3
entre,123,1
entre,124,2
europ,126,2
plus,126,1
pay,126,2
franc,126,1
plus,127,2
europ,128,1
des,128,1
pay,128,3
européen,128,1
entre,129,2
des,130,1
pay,130,1
europ,131,2
des,131,1
plus,131,1
tout,131,1
entre,134,3
europ,135,1
europ,136,2
des,136,1
plus,136,1
franc,136,1
tout,136,1
europ,137,4
plus,137,3
européen,137,1
