num,nom_pays
33007,france
259994,france
249315,france
215901,france
234171,france
155063,oman
247976,france
276612,france
237789,france
265274,france
9404,canada
221332,oman
47918,mali
587705,france
198873,france
246018,france
158612,mali
166793,france
254165,madagascar
265217,france
79937,oman
274943,france
27823,france
30551,france
79816,mexico
370729,mali
72252,france
72226,france
295578,luxembourg
396290,france
228630,france
33685,israel
34139,benin
404032,oman
165161,oman
402004,france
151530,oman
34284,france
271449,france
157388,france
157388,oman
36292,israel
5572,canada
403119,france
415224,oman
47298,france
175352,madagascar
40688,france
288067,france
288736,argentina
609357,dominica
447991,france
63098,oman
167253,canada
265642,france
350641,france
31106,france
220662,france
253971,sri lanka
40758,france
71908,france
245232,france
705735,oman
295528,oman
245601,france
274484,france
280292,france
401478,réunion
204641,mali
61434,canada
47463,france
408790,france
216877,france
174462,france
167478,mali
167478,oman
268801,france
287597,france
31033,france
259814,france
264829,oman
29427,france
24996,france
26293,luxembourg
175538,france
174990,france
142015,mexico
385843,oman
276984,france
275423,france
31687,france
174876,france
12271,france
268401,oman
1725,uruguay
282346,oman
394562,france
225340,france
601123,france
68609,france
223026,canada
198722,canada
227048,france
593126,france
59690,france
63129,dominica
276836,france
43483,france
249970,france
177433,france
6984,france
249458,france
216687,france
281825,mali
233145,france
1808,monaco
388879,france
63202,france
196565,france
260253,réunion
245933,france
533,oman
283037,oman
199700,france
24821,france
247299,france
26232,france
613623,france
273778,france
273778,oman
245606,france
277432,france
385749,mali
48458,france
229986,france
166820,france
58990,france
49280,france
273780,france
35176,france
24830,mali
295397,oman
266743,france
194401,canada
204913,canada
194391,france
269004,réunion
30989,france
83780,oman
227422,thailand
33031,france
67702,france
704653,oman
200339,canada
399435,france
262164,oman
57950,france
68736,france
273786,canada
391493,france
393123,france
207079,oman
232462,france
235406,france
385866,oman
47672,canada
80600,oman
206421,oman
82530,france
253994,france
56480,dominica
24462,france
271860,canada
241585,france
34515,france
170754,france
146633,france
240512,france
622801,portugal
257143,france
399496,france
705903,france
63639,france
232827,madagascar
11105,dominica
239310,oman
227923,france
227923,mali
298758,france
142295,france
251946,france
219057,france
12066,india
70422,mexico
206763,canada
206763,oman
659407,oman
273516,canada
273516,france
398443,france
255994,france
248695,france
254755,france
174724,france
174724,oman
174724,romania
75324,oman
260543,france
178605,france
178605,india
79829,mali
9460,france
49079,france
45088,jordan
397147,france
29567,india
179433,france
210349,france
179004,china
279370,france
279370,oman
215532,canada
27177,france
46645,france
251030,france
10170,france
69975,oman
441724,france
732828,france
5078,france
51745,france
248150,canada
296519,oman
58857,france
51917,france
275712,france
245616,france
387696,portugal
225877,jersey
200800,france
401005,france
30044,france
363839,france
215580,canada
233571,oman
253870,france
44489,france
234869,burkina faso
31570,france
390379,france
396225,madagascar
280754,oman
280764,oman
224750,france
7064,france
26596,france
414965,france
197551,burundi
197551,congo
32486,canada
173693,canada
150933,oman
398332,france
29996,france
6165,mali
10415,france
195303,france
243066,france
273967,france
163274,afghanistan
9720,france
363918,france
256839,france
55439,france
70009,france
248378,oman
180825,oman
212289,france
219318,réunion
257690,mali
282575,oman
30186,france
365384,france
204945,france
364144,france
257951,france
199828,france
299098,oman
196921,oman
30202,france
664652,france
446013,france
30643,france
231581,france
29942,france
241994,oman
587878,martinique
246715,france
30910,france
599154,france
259294,india
172418,oman
256614,oman
267692,congo
274454,france
204756,oman
206403,oman
273330,egypt
280708,oman
235899,dominica
180483,france
145149,oman
236222,oman
233620,mexico
443235,france
66976,france
164659,oman
388195,france
703905,france
703899,france
664109,france
397776,france
592049,oman
49453,mali
198496,oman
388689,france
174455,niger
174455,nigeria
174455,chad
174841,france
