nom_pays,num_article
réunion,15
poland,36
oman,43
pakistan,62
egypt,66
iraq,83
chad,83
hong kong,86
gabon,94
oman,94
oman,95
congo,120
chad,120
oman,130
cuba,145
mali,160
portugal,175
gabon,182
mexico,184
portugal,201
egypt,219
finland,222
egypt,246
réunion,262
egypt,265
cuba,275
oman,302
oman,332
gabon,333
hong kong,344
réunion,365
réunion,398
egypt,424
egypt,425
oman,425
oman,435
egypt,449
egypt,482
portugal,521
india,527
réunion,531
réunion,568
oman,578
portugal,580
hungary,584
poland,584
oman,587
oman,613
oman,614
oman,625
mali,637
poland,662
switzerland,681
portugal,709
portugal,711
réunion,731
france,734
united kingdom,734
gabon,736
oman,740
oman,746
oman,783
france,802
egypt,807
hungary,811
poland,811
portugal,813
paraguay,847
uruguay,847
finland,848
ghana,883
réunion,911
germany,919
réunion,931
mali,936
oman,937
oman,944
oman,951
réunion,982
finland,990
luxembourg,991
portugal,997
luxembourg,999
portugal,1029
réunion,1030
finland,1044
luxembourg,1044
germany,1064
japan,1064
mexico,1066
portugal,1068
sweden,1083
monaco,1096
germany,1112
finland,1151
india,1161
oman,1168
oman,1185
mali,1215
oman,1229
pakistan,1239
portugal,1239
belgium,1259
denmark,1259
oman,1280
portugal,1314
oman,1327
oman,1331
oman,1359
réunion,1361
portugal,1381
luxembourg,1389
portugal,1395
luxembourg,1399
oman,1434
madagascar,1442
gibraltar,1510
oman,1527
france,1543
france,1544
japan,1563
germany,1570
france,1570
netherlands,1570
oman,1575
germany,1596
israel,1606
réunion,1612
oman,1630
oman,1722
réunion,1724
mali,1741
oman,1786
gibraltar,1793
portugal,1793
oman,1809
oman,1812
portugal,1852
kazakhstan,1869
egypt,1883
oman,1883
kazakhstan,1884
portugal,1923
switzerland,1938
iceland,1938
norway,1938
turkey,1938
gibraltar,1949
germany,1998
oman,2017
mali,2034
oman,2064
portugal,2089
mali,2093
luxembourg,2097
finland,2111
luxembourg,2111
portugal,2111
portugal,2119
finland,2159
réunion,2166
finland,2181
finland,2189
oman,2194
portugal,2207
oman,2212
germany,2236
united kingdom,2244
united kingdom,2258
finland,2263
